,"(-100.2738805, 25.6431545)","(-100.2972559, 25.6212056)","(-100.2135627, 25.6873528)","(-100.2677014, 25.7972103)","(-100.2663074, 25.7825992)","(-100.0867751, 25.6721379)","(-100.3527544, 25.6481318)","(-100.1455167, 25.6070796)","(-100.243558, 25.6848754)","(-100.1538596, 25.7041968)","(-100.2329623, 25.6544994)","(-100.2914885, 25.6250818)","(-100.3109639, 25.7798596)","(-100.2840174, 25.6593413)","(-100.1470955, 25.7621307)","(-100.3336607, 25.7218566)","(-100.2367337, 25.6809683)","(-100.2481743, 25.7687448)","(-100.1323843, 25.7587975)","(-100.3526279, 25.6593898)","(-100.2257528, 25.710128)","(-100.3071791, 25.7921829)","(-100.225344, 25.7026355)","(-100.3624412, 25.6718201)","(-100.2295433, 25.7919045)","(-100.2177706, 25.7439285)","(-100.1869256, 25.6700507)","(-100.2817756, 25.7795061)","(-100.2665035, 25.5934053)","(-100.2293899, 25.7100776)","(-100.1032789, 25.6670487)","(-100.4075137, 25.6576189)","(-100.290049, 25.7037607)","(-100.0805375, 25.6545123)","(-100.2900965, 25.6543542)","(-100.2524947, 25.7599683)","(-100.4190115, 25.7476986)","(-100.2460245, 25.8232824)","(-100.3631344, 25.6762682)","(-100.3571731, 25.7297131)","(-100.3968376, 25.7262812)","(-100.3230916, 25.7968442)","(-100.3248253, 25.6457191)","(-100.3458251, 25.6663347)","(-100.3024736, 25.7584173)","(-100.088156, 25.6755832)","(-100.3352524, 25.7767223)","(-100.1913872, 25.7447943)","(-100.2929768, 25.7246023)","(-100.1459256, 25.6472258)"
"(-100.39411424, 25.79999104)",23951.388351072415,25689.29079388602,25691.10478722552,16570.282264878682,15379.866702417032,45086.93215725959,20363.131959402366,39541.56872377333,22858.71630259139,30726.268487915342,27079.505060845837,25574.886383618054,10311.959021858844,21848.853582359978,30753.259032628168,12479.97664981315,23876.925774818475,17946.234473532226,31815.70479508548,19111.133816086185,23939.30439520258,10212.566367690122,23186.50128715226,18701.616668981962,19388.506992344526,21873.67124585083,29222.29117024722,13705.588693801545,29764.48587564686,23375.842712061618,43780.10861814882,22697.04120868216,17877.965660561327,42698.66109416579,22330.17401857154,17575.668464641327,10021.132877750857,23561.133388570408,17597.441507641863,10966.72281743843,11967.376669006011,8707.679293160916,22192.12788826705,18823.979386092837,13326.042608383315,45500.180912755575,9097.64564973109,24523.042258728732,15436.011903161052,34966.28750235331
"(-100.14905587, 25.61889439)",17990.194703094236,21754.23346830325,13126.523714614472,28608.38740019766,26992.37155164907,11752.371099305648,26115.906515950996,2085.3376703908925,15567.987559806803,21251.94994743754,12203.524058113884,20836.0591175037,29691.08475031438,17460.7519916824,27720.828760637352,25873.88678018199,14540.862723238497,24912.913446756298,27975.910516175496,24863.908372634814,16454.147863356437,30470.222963490778,15779.622373802551,25279.865735266696,27399.476760236474,20703.37827463716,9819.971460143417,28394.299137341673,23132.10896805523,16928.43913620866,10584.414433100521,30936.80582800424,21419.886056649066,9339.226992201644,18576.603749854803,23891.47359088362,36351.437628325446,34747.23126512722,25498.56239364372,28453.685017385895,31217.626363425254,31652.893081087266,23091.410204129206,23570.703710690836,26288.22013085118,12165.619854801635,30844.51796174435,21254.88029104318,23310.331447305853,5339.017061540178
"(-100.26200166, 25.80540804)",22483.44593411575,24852.0320028093,20038.14039151516,7200.011171979272,6009.5956095176225,39315.53513070366,22900.100756507687,34630.82620088205,18426.379909662344,22404.705010269376,23024.716286512714,24737.627592541336,8144.180413157862,20380.91116540331,21840.30748491034,13698.088554792197,19444.58938188943,9016.479911578537,23494.141317439513,21648.102613191506,17435.61150061339,6671.255410245559,17959.431972153434,21238.585466087283,10018.235899445117,13552.107768204862,23450.894143691294,5281.403379133075,28521.527359481428,17915.94173673222,38008.711591592895,26319.22518085841,15427.162731208236,36927.26406760987,21116.966890281008,9212.818781133077,22594.574936211575,8241.229143195504,20429.315200129025,15839.558086316534,20493.98906219461,8556.604097827936,24339.26868827014,20799.46004125142,8706.533751257639,39728.78388619965,11596.373261849547,16201.478781082767,12281.606554748665,29194.890475797383
"(-100.32673983, 25.77332736)",17473.21900052998,19431.782727842496,16960.417759883512,9583.109582403069,8222.29995160531,36356.24512991758,16847.535146690476,31188.42931502725,14128.029275249382,21928.342886257906,18726.365652099754,19317.37831757453,3777.550666253772,15370.684231817542,21955.333430970735,7645.522944974985,15146.238747476467,9351.829414322041,23017.779193428043,15595.537003374295,15208.617367860574,5208.011242799335,14455.814259810251,15186.01985627007,12150.077374345208,13075.745644193392,20491.604142905213,6469.151876075669,23506.977809603337,14645.15568471961,35049.421590806814,20266.659571041197,10847.081637153115,33967.97406682379,16072.665952528014,8850.243493838045,15689.111874678563,17852.668034509836,14376.749590311812,9559.354864502198,14213.785840380275,3486.1858589148833,18406.48575200546,14746.894431434208,3946.5000508122525,36769.49388541357,1211.8713345480735,15725.116657071296,7765.262964443994,26235.600475011302
"(-100.09658239, 25.62820443)",23381.464552671943,27145.503317880957,17150.947972545615,32632.811658128798,31016.79580958021,6266.644551962574,31507.176365528703,6057.019593960612,19950.987835961863,25276.374205368684,17594.79390769159,26227.32896708141,34043.51794656701,22852.021841260106,31745.253018568495,31121.108777241385,18923.862999393557,28937.33770468744,32000.33477410664,30255.178222212522,20478.572121287576,34822.656159743405,19804.04663173369,30671.135584844404,31423.901018167617,24727.802532568305,13844.39571807456,32418.723395272813,28523.378817632936,20952.863394139804,5745.949733045645,36328.07567758195,26192.31181615734,3853.500444858569,23967.87359943251,27915.897848814762,41631.56114413011,38771.65552305837,30889.832243221426,33700.907014445285,36597.39779198941,36005.32627733989,28482.680053706914,28961.973560268543,30640.653327103806,6679.89330745856,35196.95115799698,25279.304548974324,27662.764643558476,7979.167066383328
"(-100.17016332, 25.74283492)",18393.232295625538,22157.27106083455,9271.320025665156,13852.262257300878,12252.178261391906,28548.71476485366,24602.124892730368,23864.005835032047,11415.095648985083,6166.042562609238,14150.410626368208,21239.096710035003,16718.193855374397,17012.178543073027,6255.710564925651,18527.225311687285,11527.211793891094,9676.41959035865,6510.792320463795,23350.126749414187,7886.189184885587,16578.785410101613,8410.009656425626,23515.59984674901,12162.982903838823,5439.642789214316,12684.073777841288,13757.887370785398,23535.14656058653,8366.519421004416,27241.891225742893,28596.23956152014,13848.18963753768,26160.443701759865,18020.133319095075,9113.121642699401,29691.94196883695,16246.06743148778,22706.329580790753,20974.651701287898,25629.082677165974,18645.587076288328,22290.403608973138,22056.92208747021,14489.513751442857,28961.963520349644,18911.14382854857,2601.4291368862105,14270.739932881044,18428.070109947377
"(-100.38701652, 25.84872095)",30049.398358938823,32007.962086251337,29536.597118292353,19307.232665450745,18116.817102989095,48932.424488326425,28863.290961129853,43764.608673436094,26704.208633658225,33673.73990724551,31302.545010508595,31893.55767598337,13383.925712062786,27946.863590226385,33700.73045195834,20221.702303383827,27722.41810588531,20893.705892862396,34763.17621441565,27611.292817813675,27784.796726269415,12949.516768262185,27031.993618219094,27201.77567070945,22125.45739291659,24821.142665181,33067.78350131405,16442.53909437361,36083.15716801218,27221.335043128453,47625.60094921566,31197.20021040965,23423.26099556196,46544.15342523263,28648.845310936857,20523.1398839715,18521.291879478347,26039.54509274291,26097.600509369353,19466.88181916592,20467.535670733498,11464.241039836965,30692.28688999454,27323.07378984305,16398.009298587258,49345.673243822406,12220.770811262902,27470.513678058902,20341.442322852836,38811.77983342014
"(-100.33819577, 25.73680568)",13657.888327007933,15395.790769821537,15738.85507616541,12483.10066334649,10847.169704323893,35134.68244619948,10619.432082322246,29248.06869970885,12906.466591531282,20953.570021703432,16786.005036781353,15281.386359553571,7598.141901363134,11555.353558295494,22795.61360655995,2301.2724215628036,13924.676063758367,10928.67335919414,23858.05936901726,9367.433939006067,13987.054684142473,9024.101884636886,13234.25157609215,8957.916791901842,14223.687373371646,13784.19987074252,19270.04145918711,9489.109003392545,19470.98585158238,13423.593001001509,33827.85890708872,13669.78847384538,7650.038507867344,32746.411383105686,12036.673994507055,9891.978686703982,11532.932165597012,20872.625161826712,8114.00053611568,2487.6353113004766,7142.066287178552,9173.067635179023,12448.42801118693,9080.279509012718,5475.534410409579,35547.931201695465,8336.127167352086,16565.396832660514,5390.45889629317,25014.0377912932
"(-100.36677351, 25.76487501)",18007.107057952813,19745.009500766417,19845.716106301523,16472.869695267473,14836.938736244876,39241.543476335595,14398.565470936952,33597.28743065373,17013.327621667395,25060.431051839543,21135.22376772623,19630.60509049845,11587.910933284118,15904.572289240374,26785.382638480933,6515.410161347737,18031.53709389448,14918.442391115123,27847.828400938244,13146.567327620773,18093.915714278584,12567.382542891248,17341.112606228264,12737.050180516548,18213.45640529263,17773.968902663502,23376.902489323224,13478.878035313528,23820.204582527258,17530.45403113762,37934.71993722483,16732.474720216745,11933.684367441723,36853.2724132418,16385.892725451933,13881.747718624965,7574.901078789582,24862.394193747696,11632.875019176448,5002.156328973017,6307.42693869658,11062.495468362042,16227.561399801636,12859.412897627422,9465.303442330563,39654.792231831576,11452.461824932216,20555.165864581497,9590.623222237055,29120.898821429313
"(-100.32279019, 25.77665953)",17628.299193124167,19586.86292043668,17115.497952477697,8766.236813802381,7575.821251340732,36511.325322511766,17002.61533928466,31343.509507621435,14283.109467843567,21888.735349742925,18881.44584469394,19472.458510168715,1609.693433253034,15525.764424411727,21915.72589445575,7800.60313756917,15301.318940070652,9312.22187780706,22978.171656913062,15750.61719596848,15363.69756045476,3057.5508291630613,14610.894452404436,15341.100048864255,11584.461541268227,13036.138107678411,20646.684335499398,5901.543242725244,23662.058002197522,14800.235877313795,35204.501783401,20421.739763635385,11002.161829747301,34123.05425941797,16227.746145122199,8810.635957323064,16176.721166410496,17035.795265909146,14531.829782905997,9714.435057096383,14368.86603297446,2307.623479468194,18561.565944599646,14901.974624028393,4002.330455513842,36924.574078007754,4299.853523749849,15685.509120556315,7920.343157038179,26390.680667605488
